,Longitude,Latitude,LGA,RadiusInKM,AccidentCount,RoadName,RoadType,PostcodeNo
0,145.94466,-36.5402,BENALLA,1.09,5,Goomalibee,Road,3672
1,144.17078999999998,-36.91563,BENDIGO,0.0,1,Hokins,Road,3453
2,144.35753,-38.1428,GEELONG,24.43,2533,Smythe,Street,3220
3,146.38227,-38.219559999999994,LATROBE,28.38,739,Toners,Lane,3840
4,144.06177,-37.1066,MOUNT ALEXANDER,1.61,6,Pyrenees,Highway,3462
5,143.84668,-37.56498,BALLARAT,14.71,1267,Drummond,Street,3350
6,142.16124,-34.21085,MILDURA,13.78,420,Buronga-mildura south,Road,3500
7,142.8979,-35.44468,BULOKE,0.0,1,Robinvale-sea lake,Road,3533
8,146.31116,-36.36072,WANGARATTA,4.86,143,Callander,Avenue,3677
9,145.71166000000002,-37.32155,MURRINDINDI,1.08,4,Maroondah,Highway,3714
10,144.437,-37.6702,MOORABOOL,14.05,162,Gisborne,Road,3340
11,144.67353,-36.29888,CAMPASPE,0.0,1,Prairie-rochester,Road,3561
12,142.17202,-36.96745,HORSHAM,0.64,3,Henty,Highway,3401
13,147.85844,-36.16897,TOWONG,0.0,1,Briggs gap,Road,3707
14,147.53811000000002,-37.12453,EAST GIPPSLAND,2.71,9,Great alpine,Road,3898
15,146.20797,-36.46848,WANGARATTA,0.74,4,Hume,Freeway,3675
16,147.26917,-36.84968,(FALLS CREEK),6.64,30,Bogong high plains,Road,3699
17,145.22582,-36.91531,STRATHBOGIE,2.8,14,Hume,Freeway,3664
18,145.97072,-38.5665,SOUTH GIPPSLAND,4.75,24,South gippsland,Highway,3954
19,146.88383000000002,-36.12597,WODONGA,8.88,264,William,Street,3690
20,144.58486000000002,-37.34349,MACEDON RANGES,0.92,6,Coach road -romsey,Road,3442
21,142.9976,-38.28816,CORANGAMITE,0.0,1,Cobden-terang,Road,3266
22,145.06073999999998,-37.213029999999996,MITCHELL,4.06,42,Mia mia,Road,3658
23,145.97274,-36.55596,BENALLA,6.98,70,Bridge,Street,3672
24,143.51385,-35.79959,GANNAWARRA,0.0,1,Quambatook-swan hill,Road,3540
25,145.31798999999998,-36.61231,SHEPPARTON,1.56,5,Murchison-violet town,Road,3610
26,144.27276,-36.7615,BENDIGO,18.79,1150,Mcivor,Highway,3550
27,147.06412,-37.9999,WELLINGTON,3.54,11,Princes,Highway,3862
