,ACCIDENT_NO,LONGITUDE,LATITUDE,LGA_NAME,ROAD,RADIUS,NUMBER OF ACCIDENTS
0,T20130026788,145.94466,-36.5402,BENALLA,GOOMALIBEE ROAD,1.085796355342465 km,5
1,T20130026801,144.17078999999998,-36.91563,BENDIGO,HOKINS ROAD,0.0 km,1
2,T20190003224,144.35753,-38.1428,GEELONG,SMYTHE STREET,24.429008462728873 km,2531
3,T20160018735,146.38227,-38.219559999999994,LATROBE,TONERS LANE,28.403173408321233 km,737
4,T20130016539,144.06177,-37.1066,MOUNT ALEXANDER,PYRENEES HIGHWAY,1.609134902429938 km,6
5,T20180006545,143.84668,-37.56498,BALLARAT,DRUMMOND STREET,14.710764900728181 km,1266
6,T20170008415,142.16124,-34.21085,MILDURA,BURONGA-MILDURA SOUTH ROAD,13.783589990849952 km,420
7,T20130025949,142.8979,-35.44468,BULOKE,ROBINVALE-SEA LAKE ROAD,0.0 km,1
8,T20180021687,146.31116,-36.36072,WANGARATTA,CALLANDER AVENUE,4.856440450467084 km,143
9,T20140004978,145.71166000000002,-37.32155,MURRINDINDI,MAROONDAH HIGHWAY,1.0756962587720087 km,4
10,T20160024773,144.437,-37.6702,MOORABOOL,GISBORNE ROAD,14.01910740164201 km,161
11,T20130026812,144.67353,-36.29888,CAMPASPE,PRAIRIE-ROCHESTER ROAD,0.0 km,1
12,T20130026817,142.17202,-36.96745,HORSHAM,HENTY HIGHWAY,0.6377991408503028 km,3
13,T20130025589,147.85844,-36.16897,TOWONG,BRIGGS GAP ROAD,0.0 km,1
14,T20150002736,147.53811000000002,-37.12453,EAST GIPPSLAND,GREAT ALPINE ROAD,2.7050236609817744 km,9
15,T20140000762,146.20797,-36.46848,WANGARATTA,HUME FREEWAY,0.7395381166545664 km,4
16,T20140000083,147.26917,-36.84968,(FALLS CREEK),BOGONG HIGH PLAINS ROAD,6.637462200478247 km,30
17,T20160004495,145.22582,-36.91531,STRATHBOGIE,HUME FREEWAY,2.802509572021523 km,14
18,T20180013457,145.97072,-38.5665,SOUTH GIPPSLAND,SOUTH GIPPSLAND HIGHWAY,4.749549145047708 km,24
19,T20150024899,146.88383000000002,-36.12597,WODONGA,WILLIAM STREET,8.876732831556017 km,264
20,T20150013181,144.58486000000002,-37.34349,MACEDON RANGES,COACH ROAD -ROMSEY ROAD,0.9181419601992978 km,6
21,T20130026409,142.9976,-38.28816,CORANGAMITE,COBDEN-TERANG ROAD,0.0 km,1
22,T20160007352,145.06073999999998,-37.213029999999996,MITCHELL,MIA MIA ROAD,4.062790768492234 km,42
23,T20140018343,145.97274,-36.55596,BENALLA,BRIDGE STREET,6.983457834784156 km,70
24,T20130025244,143.51385,-35.79959,GANNAWARRA,QUAMBATOOK-SWAN HILL ROAD,0.0 km,1
25,T20150020578,145.31798999999998,-36.61231,SHEPPARTON,MURCHISON-VIOLET TOWN ROAD,1.5622091151437956 km,5
26,T20170007901,144.27276,-36.7615,BENDIGO,MCIVOR HIGHWAY,18.792846165164878 km,1149
